latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,region
-3.29766,104.91911,348.52,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,301.47,10.64,D,0,sumatra
-3.29521,104.91515,331.95,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,299.63,7.95,D,0,sumatra
-3.29451,104.91972,350.78,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,309.4,33.38,D,0,sumatra
-3.29072,104.91914,352.19,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,304.66,33.38,D,0,sumatra
-3.28266,103.72038,337.39,0.44,0.39,2023-09-01,644,N,VIIRS,n,2,306.56,4.9,D,0,sumatra
-3.26395,104.96676,331.41,0.51,0.41,2023-09-01,644,N,VIIRS,l,2,303,4.43,D,0,sumatra
-3.26391,104.19505,343.2,0.47,0.39,2023-09-01,644,N,VIIRS,n,2,303.89,10.15,D,0,sumatra
-3.24815,102.77868,337.76,0.41,0.37,2023-09-01,644,N,VIIRS,n,2,304.66,5.75,D,0,sumatra
-3.24674,104.20965,332,0.47,0.4,2023-09-01,644,N,VIIRS,n,2,302.99,9.46,D,0,sumatra
-3.24608,104.21387,340.31,0.47,0.4,2023-09-01,644,N,VIIRS,n,2,305.79,17,D,0,sumatra
-3.23626,104.06277,334.56,0.46,0.39,2023-09-01,644,N,VIIRS,n,2,304.39,2.29,D,0,sumatra
-3.21231,104.70098,335.62,0.5,0.41,2023-09-01,644,N,VIIRS,n,2,305.46,7.57,D,0,sumatra
-3.20999,104.84145,338.5,0.5,0.41,2023-09-01,644,N,VIIRS,n,2,300.64,4.2,D,0,sumatra
-3.20888,105.01988,330.65,0.52,0.41,2023-09-01,644,N,VIIRS,l,2,304.46,5.57,D,0,sumatra
-3.20383,104.68143,336.98,0.49,0.41,2023-09-01,644,N,VIIRS,n,2,302.84,2.78,D,0,sumatra
-3.20078,104.67641,332.37,0.49,0.41,2023-09-01,644,N,VIIRS,n,2,299.69,22.54,D,0,sumatra
-3.20009,104.68086,367,0.49,0.41,2023-09-01,644,N,VIIRS,h,2,307.81,22.54,D,0,sumatra
-3.1994,104.68531,343.65,0.49,0.41,2023-09-01,644,N,VIIRS,n,2,307.05,7.5,D,0,sumatra
-3.19871,104.68977,342.64,0.49,0.41,2023-09-01,644,N,VIIRS,n,2,305,7.5,D,0,sumatra
-3.19635,104.68028,350.97,0.49,0.41,2023-09-01,644,N,VIIRS,n,2,309.25,22.54,D,0,sumatra
-3.19321,104.85031,347.96,0.5,0.41,2023-09-01,644,N,VIIRS,n,2,304.99,10.46,D,0,sumatra
-3.18943,104.84974,351.33,0.5,0.41,2023-09-01,644,N,VIIRS,n,2,302.56,14.5,D,0,sumatra
-3.17507,102.09054,332.96,0.39,0.36,2023-09-01,644,N,VIIRS,n,2,297.9,5.25,D,0,sumatra
-3.17454,102.09406,339.92,0.39,0.36,2023-09-01,644,N,VIIRS,n,2,296.03,7.28,D,0,sumatra
-3.17171,102.09003,333.42,0.39,0.36,2023-09-01,644,N,VIIRS,n,2,298.71,7.11,D,0,sumatra
-3.17118,102.09354,337.34,0.39,0.36,2023-09-01,644,N,VIIRS,n,2,298.17,4.84,D,0,sumatra
-3.16781,102.09303,331.71,0.39,0.36,2023-09-01,644,N,VIIRS,n,2,296.58,4.84,D,0,sumatra
-3.15567,104.86787,344.98,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,305.66,36.28,D,0,sumatra
